"Position","Track Name","Artist","Streams","URL","Country"
"123","Ke Lo Ke (feat. Lazza & Gazo)","Tony Effe","358541","https://open.spotify.com/track/0eiF9S0zXS0uAUPzb0gP8i","IT"
"124","CRUDELIA - I nervi","Marracash","358054","https://open.spotify.com/track/5dsz7MTrNdN9aMTrnp7sOG","IT"
"125","Casablanca (feat. Morad)","Baby Gang","356414","https://open.spotify.com/track/3n348I4uE5GZ3tprVdqzPO","IT"
"126","Pasticche (feat. Capo Plaza)","VillaBanks","356339","https://open.spotify.com/track/7KnC2wSD0I5Fju3A7qCFX8","IT"
"127","Love Tonight - Edit","Shouse","354069","https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP","IT"
"128","Need To Know","Doja Cat","353893","https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi","IT"
"129","Dancing On Dangerous (feat. SofÃ­a Reyes)","Imanbek","352146","https://open.spotify.com/track/6OYZvwKN8GaauTrJS1TuuH","IT"
"130","Lento","Boro Boro","349508","https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl","IT"
"131","Non Abbiamo EtÃ ","Luche","348233","https://open.spotify.com/track/0NwuXciw6eQc4edjwSBnV3","IT"
"132","Wasted Love (feat. Lagique)","Ofenbach","347930","https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U","IT"
"133","SLATT (feat. Capo Plaza)","Rondodasosa","347252","https://open.spotify.com/track/1YvhcTM8aIRTg03AavA2HJ","IT"
"134","A Un Passo Dalla Luna","Rocco Hunt","346736","https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK","IT"
"135","Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber","345130","https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI","IT"
"136","Mille guerre","ARIETE","344373","https://open.spotify.com/track/3CXFLrWD9LoyPbKPTSUkQH","IT"
"137","Estate","Will","343890","https://open.spotify.com/track/7AKMq2HTg8FQs9LE0v9uoy","IT"
"138","Piazza Di Spaccio (feat. Simba La Rue)","167 Gang","340928","https://open.spotify.com/track/0kowoL7HY8wPI6XhWLfPIT","IT"
"139","Brivido","GuÃ¨ Pequeno","340474","https://open.spotify.com/track/7fH13hSOyNoeiDGbjEnTUC","IT"
"140","IL CIELO NELLA STANZA (feat. NSTASIA)","Salmo","334385","https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad","IT"
"141","Topless","Geeno","331912","https://open.spotify.com/track/2HjM0ufsJtI0zBBeFIpEog","IT"
"142","Bongo Cha Cha Cha","Goodboys","330339","https://open.spotify.com/track/7J4zszAZxAyowZp7gNUIUI","IT"
"143","Marocchino","Baby Gang","330219","https://open.spotify.com/track/0f2wkDmAlLAo90gE5d1yPU","IT"
"144","Panama (feat. Aya Nakamura)","Capo Plaza","329805","https://open.spotify.com/track/2ijYyMdMODsg7Zdnyd3gju","IT"
"145","Rozzi","Paky","329190","https://open.spotify.com/track/3Y00k9cPoW8BnJesUEFoWn","IT"
"146","Giove","Deddy","327052","https://open.spotify.com/track/3DSRqnriffpPi7vopWeTWU","IT"
"147","Tutte le volte","Alessandra Amoroso","325972","https://open.spotify.com/track/5tStyrWqAoQVA2tP8cfWYk","IT"
"148","Serpenti (feat. Geolier)","Lele Blade","325497","https://open.spotify.com/track/3Ox3kTgKVoydBgIti7n0K3","IT"
"149","Don't Be Shy","TiÃ«sto","324109","https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB","IT"
"150","Just For Fun (feat. Yung Snapp)","Lele Blade","321836","https://open.spotify.com/track/1FX1O32qSCeloaQLN9XdGl","IT"
