"Position","Track Name","Artist","Streams","URL","Country"
"1","INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X","11527935","https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk","USA"
"2","Way 2 Sexy (with Future & Young Thug)","Drake","9596386","https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG","USA"
"3","STAY (with Justin Bieber)","The Kid LAROI","9530987","https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX","USA"
"4","Knife Talk (with 21 Savage ft. Project Pat)","Drake","8882807","https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6","USA"
"5","Heat Waves","Glass Animals","7634481","https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx","USA"
"6","THATS WHAT I WANT","Lil Nas X","6236849","https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO","USA"
"7","good 4 u","Olivia Rodrigo","6010985","https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG","USA"
"8","Fair Trade (with Travis Scott)","Drake","5938632","https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS","USA"
"9","family ties (with Kendrick Lamar)","Baby Keem","5634545","https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN","USA"
"10","Need To Know","Doja Cat","5581877","https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi","USA"
"11","MONTERO (Call Me By Your Name)","Lil Nas X","5565971","https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W","USA"
"12","Meet Me At Our Spot","THE ANXIETY","5255801","https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG","USA"
"13","Kiss Me More (feat. SZA)","Doja Cat","5224423","https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz","USA"
"14","Woman","Doja Cat","5091738","https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4","USA"
"15","Girls Want Girls (with Lil Baby)","Drake","4842532","https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3","USA"
"16","Hurricane","Kanye West","4728798","https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o","USA"
"17","2055","Sleepy Hallow","4600514","https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo","USA"
"18","Happier Than Ever","Billie Eilish","4579433","https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8","USA"
"19","My Universe","Coldplay","4456573","https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM","USA"
"20","Shivers","Ed Sheeran","4400399","https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r","USA"
"21","Bad Habits","Ed Sheeran","4359041","https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE","USA"
"22","Your Heart","Joyner Lucas","4330719","https://open.spotify.com/track/2DTpP3caqX3QdJIEoS83mD","USA"
"23","Pepas","Farruko","4006026","https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k","USA"
"24","traitor","Olivia Rodrigo","3983123","https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT","USA"
"25","Beggin'","M̴neskin","3838833","https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e","USA"
"26","Levitating (feat. DaBaby)","Dua Lipa","3717505","https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF","USA"
"27","Moon","Kanye West","3671994","https://open.spotify.com/track/2Rd4eJ4KwXQQn2sMSToyUM","USA"
"28","Too Easy","Gunna","3662105","https://open.spotify.com/track/4eL3XeuGaEoVT8ttDh3hwY","USA"
"29","Dark Red","Steve Lacy","3643610","https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk","USA"
"30","Get Into It (Yuh)","Doja Cat","3468579","https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb","USA"
